Robot Number,Vial Site (1),Vial Site (2),Concatenated Vial site,Bulk Actual Temp (C),Crystal Score,,_out_predicted,modelname,participantname,notes,class_probability
43,E,6,E6,110,3,,2,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs	Ian Pendleton	Reproducing Runs - 1_24 from - 2018-08-21T00_41_41.669916+00_00_LBL,
47,F,6,F6,110,3,,2,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs	Ian Pendleton	Reproducing Runs - 1_24 from - 2018-08-21T00_41_41.669916+00_00_LBL,
44,G,6,G6,110,4,,2,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs	Ian Pendleton	Reproducing Runs - 1_24 from - 2018-08-21T00_41_41.669916+00_00_LBL,
48,H,6,H6,110,3,,2,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs	Ian Pendleton	Reproducing Runs - 1_24 from - 2018-08-21T00_41_41.669916+00_00_LBL,
49,A,7,A7,110,1,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,Original escalate quasi random deploy max vol 500 and 250,
53,B,7,B7,110,1,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,Original escalate quasi random deploy max vol 500 and 250,
50,C,7,C7,110,3,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,Original escalate quasi random deploy max vol 500 and 250,
54,D,7,D7,110,1,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,Original escalate quasi random deploy max vol 500 and 250,
51,E,7,E7,110,3,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,Original escalate quasi random deploy max vol 500 and 250,
55,F,7,F7,110,1,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,Original escalate quasi random deploy max vol 500 and 250,
52,G,7,G7,110,4,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,Original escalate quasi random deploy max vol 500 and 250,
56,H,7,H7,110,1,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,Original escalate quasi random deploy max vol 500 and 250,
57,A,8,A8,110,1,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,Original escalate quasi random deploy max vol 500 and 250,
61,B,8,B8,110,1,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,Original escalate quasi random deploy max vol 500 and 250,
58,C,8,C8,110,1,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,Original escalate quasi random deploy max vol 500 and 250,
62,D,8,D8,110,2,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,Original escalate quasi random deploy max vol 500 and 250,
59,E,8,E8,110,1,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,Original escalate quasi random deploy max vol 500 and 250,
63,F,8,F8,110,1,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,Original escalate quasi random deploy max vol 500 and 250,
60,G,8,G8,110,1,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,Original escalate quasi random deploy max vol 500 and 250,
64,H,8,H8,110,1,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,Original escalate quasi random deploy max vol 500 and 250,
65,A,9,A9,110,1,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,Original escalate quasi random deploy max vol 500 and 250,
69,B,9,B9,110,1,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,Original escalate quasi random deploy max vol 500 and 250,
66,C,9,C9,110,3,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,Original escalate quasi random deploy max vol 500 and 250,
70,D,9,D9,110,4,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,Original escalate quasi random deploy max vol 500 and 250,
67,E,9,E9,110,3,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,Original escalate quasi random deploy max vol 500 and 250,
71,F,9,F9,110,1,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,Original escalate quasi random deploy max vol 500 and 250,
68,G,9,G9,110,4,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,Original escalate quasi random deploy max vol 500 and 250,
72,H,9,H9,110,1,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,Original escalate quasi random deploy max vol 500 and 250,
73,A,10,A10,110,1,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,Original escalate quasi random deploy max vol 500 and 250,
77,B,10,B10,110,1,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,Original escalate quasi random deploy max vol 500 and 250,
74,C,10,C10,110,4,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,Original escalate quasi random deploy max vol 500 and 250,
78,D,10,D10,110,3,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,Original escalate quasi random deploy max vol 500 and 250,
75,E,10,E10,110,3,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,Original escalate quasi random deploy max vol 500 and 250,
79,F,10,F10,110,1,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,Original escalate quasi random deploy max vol 500 and 250,
